No,Country,Region,Pwrindx,Total Population,Available Manpower,Fit-For-Service,Reaching Military Age Annually,Total Military Personnel,Active Personnel,Reserve Personnel,Total Aircraft Strength,Fighters,Attack,Transports,Trainers,Total Helicopter Strength,Attack Helicopters,Combat Tanks,Armored Fighting Vehicles,Self-Propelled Artillery,Towed Artillery,Rocket Projectors,Total Naval Assets,Aircraft Carriers,Frigates,Destroyers,Corvettes,Submarines,Patrol Vessels,Mine Warfare,Oil Production,Oil Consumption,Proven Reserves,Labor Force,Merchant Marine Strength,"Major Ports, Hubs & Terminals",Roadway Coverage,Railway Coverage,Servicable Airports,Defense Budget,External Debt,Reserves of Foreign Exchange & Gold,Purchasing Power Parity,Square Land Area,Coastline,Shared Border,Waterways
1,United States ,America,0.08,326625791,14521500,12002500,4220000,2083100,1281900,801200,"13,362.00","1,962.00","2,830.00","5,248.00","2,856.00","5,758.00",973,"5,884.00","38,822.00",950,795,"1,197.00",415,20,10,65,0,66,13,11,8853000,19000000,36520000000,"160,400,000.00","3,611.00",24,6586610,224792,"13,513.00","647,000,000,000.00","17,910,000,000,000.00","117,300,000,000.00","19,360,000,000,000.00",9826675,19924,12048,41009
2,Russia,Europe,0.08,142257519,70000000,47000000,1355000,3586128,1013628,2572500,"3,914.00",818,"1,416.00","1,524.00",414,"1,451.00",511,"20,300.00","27,400.00","5,970.00","4,466.00","3,816.00",352,1,9,13,78,62,41,47,10550000,3320000,80000000000,"76,530,000.00","2,572.00",7,982000,87157,"1,218.00","47,000,000,000.00","451,500,000,000.00","418,500,000,000.00","4,000,000,000,000.00",17098242,37653,22408,102000
3,China,Asia,0.09,1379302771,750000000,619000000,19550000,2693000,2183000,510000,"3,035.00","1,125.00","1,527.00",722,353,985,281,"7,716.00","9,000.00","2,000.00","6,246.00","2,050.00",714,1,50,29,39,73,220,29,3981000,10120000,25620000000,"806,700,000.00","4,287.00",15,3860800,86000,507,"151,000,000,000.00","1,649,000,000,000.00","3,194,000,000,000.00","23,120,000,000,000.00",9596961,14500,22457,110000
4,India,Asia,0.14,1281935911,616000000,489600000,22900000,4207250,1362500,2844750,"2,185.00",590,804,708,251,720,15,"4,426.00","3,147.00",190,"4,158.00",266,295,1,14,11,22,16,139,4,734500,3510000,4621000000,"521,900,000.00","1,674.00",7,3320410,63974,346,"47,000,000,000.00","483,400,000,000.00","407,200,000,000.00","9,447,000,000,000.00",3287263,7000,13888,14500
5,France,Europe,0.19,67106161,30000000,23750000,775000,388635,205000,183635,"1,262.00",299,299,433,245,570,54,406,"6,330.00",109,12,13,118,4,11,12,0,10,18,18,16420,1770000,72350000,"30,680,000.00",555,14,951200,29640,464,"40,000,000,000.00","5,360,000,000,000.00","146,800,000,000.00","2,826,000,000,000.00",643801,4853,4072,8501
6,United Kingdom,Europe,0.19,64769452,30000000,24040000,750000,279230,197730,81500,832,103,143,297,342,333,49,227,"5,371.00",89,126,35,76,2,13,6,0,10,21,13,933000,1510000,2564000000,"33,500,000.00","1,551.00",14,394428,16454,460,"50,000,000,000.00","8,126,000,000,000.00","135,000,000,000.00","2,880,000,000,000.00",243610,12429,443,3200
7,South Korea,Asia,0.2,51181299,25610000,21035000,690000,5827250,625000,5202250,"1,560.00",406,466,382,276,748,112,"2,654.00","3,480.00","1,890.00","3,854.00",214,166,1,12,12,14,16,69,11,0,2325000,0,2747000,"1,907.00",8,103029,3381,111,"40,000,000,000.00","376,900,000,000.00","374,800,000,000.00","2,027,000,000,000.00",99720,2413,237,1600
8,Japan,Asia,0.21,126451398,54000000,4400000,1215000,310457,247157,63300,"1,508.00",290,290,486,404,622,84,679,"3,178.00",202,500,99,131,4,0,36,6,17,6,25,3918,4530800,44120000,"67,770,000.00","5,289.00",10,1210251,27182,175,"44,000,000,000.00","3,240,000,000,000.00","1,217,000,000,000.00","5,405,000,000,000.00",377915,29751,0,1770
9,Turkey,Europe,0.22,80845215,41640000,35010000,1375000,710565,350000,360565,"1,056.00",207,207,445,287,475,54,"2,446.00","9,031.00","1,108.00",872,418,194,0,16,0,10,12,34,11,49500,720000,388500000,"31,300,000.00","1,285.00",9,352046,8699,98,"10,200,000,000.00","429,600,000,000.00","107,500,000,000.00","2,133,000,000,000.00",783562,7200,2816,1200
10,Germany,Europe,0.25,80594017,37000000,29540000,791000,208641,178641,30000,714,94,181,381,52,384,58,432,"4,620.00",123,0,38,81,0,10,0,5,6,0,12,46590,2400000,145400000,"45,900,000.00",614,13,644480,41981,539,"45,200,000,000.00","5,326,000,000,000.00","185,300,000,000.00","4,150,000,000,000.00",357022,2389,3694,7467
11,Italy,Europe,0.26,62137802,28000000,22600000,570000,267500,247500,20000,828,90,186,425,193,425,59,200,"10,688.00",164,90,21,143,2,14,4,2,8,10,10,70670,1315000,556700000,2594000,"1,430.00",9,487700,20255,129,"37,700,000,000.00","2,444,000,000,000.00","136,000,000,000.00","2,307,000,000,000.00",301340,7600,1836,2400
12,Egypt,Asia,0.28,97041072,42000000,35306000,1535000,1329250,454250,875000,"1,132.00",309,409,183,384,269,10,"4,946.00","15,695.00","1,139.00","2,189.00","1,216.00",319,2,9,0,4,6,53,23,494300,740000,4400000000,"29,950,000.00",399,7,65050,5083,83,"4,400,000,000.00","76,310,000,000.00","34,020,000,000.00","1,199,000,000,000.00",1001450,2450,2612,3500
13,Iran,Asia,0.31,82021564,47000000,39570000,1400000,934000,534000,400000,505,150,158,192,101,145,12,"1,650.00","2,215.00",440,"2,188.00","1,533.00",398,0,5,0,3,33,230,10,"4,068,000.00","1,870,000.00","158,400,000,000.00","30,500,000.00",739,3,"172,927.00","8,442.00",319,"6,300,000,000.00","10,560,000,000.00","132,600,000,000.00","1,631,000,000,000.00","1,648,195.00","2,440.00","5,894.00",850
14,Brazil,America,0.32,207353391,107000000,84000000,3410000,1987000,334500,1652500,723,46,125,370,176,255,12,469,"1,707.00",112,563,180,110,0,8,0,4,5,34,10,"2,515,000.00","3,100,000.00","13,000,000,000.00","111,600,000.00",766,15,"1,751,868.00","28,538.00","4,093.00","29,300,000,000.00","554,500,000,000.00","377,100,000,000.00","3,219,000,000,000.00","8,514,877.00","7,491.00","16,145.00",50000
15,Indonesia,Asia,0.33,260580739,130000000,107540000,4500000,975750,435750,540000,478,41,80,200,110,197,5,418,"1,131.00",105,356,153,221,0,8,0,24,3,74,12,"831,100.00","1,660,000.00","3,230,000,000.00","126,100,000.00","8,782.00",9,"437,759.00","5,042.00",673,"6,900,000,000.00","322,600,000,000.00","122,500,000,000.00","3,243,000,000,000.00","1,904,569.00","54,716.00","2,958.00",21579
16,Israel,Europe,0.34,8299706,3600000,3000000,122000,615000,170000,445000,596,252,252,95,152,147,48,"2,760.00","10,575.00",650,300,148,65,0,0,0,3,6,32,0,390,"240,000.00","12,730,000.00","4,021,000.00",42,4,"18,290.00",975,47,"20,000,000,000.00","93,020,000,000.00","113,000,000,000.00","315,600,000,000.00","20,770.00",273,"1,068.00",0
17,Pakistan,Asia,0.37,204924861,95000000,75325000,4345000,919000,637000,282000,"1,281.00",320,410,296,486,328,49,"2,182.00","2,604.00",307,"1,240.00",144,197,0,10,0,0,5,11,3,"85,500.00","440,000.00","350,600,000.00","63,890,000.00",52,2,"260,760.00","7,791.00",151,"7,000,000,000.00","75,660,000,000.00","20,020,000,000.00","1,056,000,000,000.00","796,095.00","1,046.00","7,257.00",25220
18,North Korea,Asia,0.39,25248140,13000000,10100000,415000,6445000,945000,5500000,944,458,516,119,169,202,20,"5,243.00","9,935.00","2,250.00","4,300.00","5,000.00",967,0,10,0,2,86,438,25,0,"15,000.00",0,"14,000,000.00",248,8,"25,554.00","5,242.00",82,"7,500,000,000.00","5,000,000,000.00","6,000,000,000.00","40,000,000,000.00","120,538.00","2,495.00","1,607.00",2250
19,Spain,Europe,0.41,48958159,23000000,18725000,423000,174700,124100,50600,524,122,122,153,185,178,16,327,"2,493.00",96,143,0,46,1,11,0,0,3,22,6,"2,667.00","1,205,000.00","150,000,000.00","22,750,000.00",472,9,"681,298.00","15,293.00",150,"11,600,000,000.00","2,094,000,000,000.00","63,140,000,000.00","1,769,000,000,000.00","505,370.00","4,964.00","1,953.00",1000
20,Vietnam,Asia,0.41,96160163,50650000,41505000,1640000,5488500,448500,5040000,283,76,76,165,28,139,25,"1,545.00","3,150.00",524,"2,200.00","1,100.00",65,0,9,0,14,6,25,8,"301,800.00","415,000.00","4,400,000,000.00","56,460,000.00","1,818.00",6,"180,549.00","2,632.00",45,"3,365,000,000.00","91,970,000,000.00","38,750,000,000.00","643,900,000,000.00","331,210.00","3,444.00","4,616.00",17702
21,Australia,Asia,0.42,23232413,10700000,8800000,280000,79700,60000,19700,469,78,78,172,157,184,22,59,"2,040.00",0,75,0,47,2,10,1,0,6,13,6,"289,700.00","1,085,000.00","1,821,000,000.00","12,910,000.00",549,20,"818,356.00","38,445.00",480,"26,300,000,000.00","1,670,000,000,000.00","60,300,000,000.00","1,235,000,000,000.00","7,741,220.00","25,760.00",0,2000
22,Poland,Europe,0.43,38476269,19000000,15585000,435000,184650,109650,75000,466,99,99,258,100,227,29,"1,065.00","2,608.00",443,72,240,83,0,2,0,2,4,3,20,"20,100.00","512,000.00","137,800,000.00","17,600,000.00",152,4,"423,997.00","19,428.00",126,"9,360,000,000.00","362,000,000,000.00","115,000,000,000.00","1,111,000,000,000.00","312,685.00",440,"2,845.00",3997
23,Algeria,Asia,0.43,40969443,20400000,17250000,675000,792350,520000,272350,528,97,107,326,70,280,46,"2,405.00","6,754.00",220,270,176,85,0,8,0,13,8,43,1,"1,348,000.00","350,000.00","12,200,000,000.00","11,820,000.00",110,9,"111,261.00","3,973.00",157,"10,570,000,000.00","8,163,000,000.00","97,670,000,000.00","629,300,000,000.00","2,381,741.00",998,"6,734.00",0
24,Taiwan,Asia,0.43,23508428,12200000,10030000,325000,1932500,257500,1675000,843,286,286,196,205,342,91,"2,005.00","4,350.00",482,"1,160.00",72,87,0,20,4,1,4,51,10,196,"975,000.00","2,380,000.00","11,780,000.00",350,4,"41,475.00","1,580.00",37,"10,725,000,000.00","204,700,000,000.00","468,100,000,000.00","1,175,000,000,000.00","35,980.00","1,566.00",0,3720
25,Canada,America,0.44,35623680,16000000,13025000,425000,88000,64000,24000,413,60,60,184,139,168,0,80,"3,004.00",0,161,0,63,0,12,0,0,4,20,0,"3,679,000.00","2,430,000.00","169,700,000,000.00","19,520,000.00",500,12,"1,042,300.00","46,552.00","1,467.00","16,400,000,000.00","1,608,000,000,000.00","85,600,000,000.00","1,764,000,000,000.00","9,984,670.00","202,080.00","8,893.00",636
26,Saudi Arabia,Asia,0.46,28571770,15300000,14000000,510000,256000,231000,25000,844,203,284,211,244,254,22,"1,142.00","5,472.00",524,432,322,55,0,7,0,4,0,11,3,"10,460,000.00","3,000,000.00","266,500,000,000.00","12,340,000.00",357,4,"221,372.00","1,378.00",214,"56,725,000,000.00","212,900,000,000.00","509,000,000,000.00","1,789,000,000,000.00","2,149,690.00","2,640.00","4,272.00",0
27,Thailand,Asia,0.47,68414135,35500000,27500000,1045000,627425,335425,292000,565,75,93,293,154,299,7,737,"2,614.00",26,695,13,81,1,7,0,7,0,32,7,"257,500.00","1,005,000.00","396,400,000.00","38,370,000.00",781,5,"180,053.00","4,071.00",101,"5,390,000,000.00","135,500,000,000.00","193,500,000,000.00","1,229,000,000,000.00","513,120.00","3,219.00","5,673.00",4000
28,Greece,Europe,0.53,10768477,5000000,4050000,105000,413750,161500,252250,567,189,189,196,146,225,29,"1,345.00","4,209.00",547,463,152,115,0,13,0,0,11,33,4,"3,172.00","285,000.00","10,000,000.00","4,769,000.00","1,364.00",5,"116,711.00","2,548.00",77,"6,540,000,000.00","506,600,000,000.00","6,893,000,000.00","299,500,000,000.00","131,957.00","13,676.00","1,110.00",6
29,Ukraine,Europe,0.54,44033874,22250000,15700000,482000,1182000,182000,1000000,240,39,64,121,46,94,34,"2,214.00","11,868.00","1,302.00","1,669.00",625,25,0,1,0,1,0,12,1,"32,070.00","317,000.00","395,000,000.00","17,990,000.00",419,6,"169,495.00","21,658.00",187,"4,880,000,000.00","125,300,000,000.00","21,800,000,000.00","366,400,000,000.00","603,550.00","2,782.00","5,618.00",2150
30,Czech Republic,Europe,0.6,10674723,5000000,4062000,98000,29050,22000,7050,103,12,28,61,14,50,17,123,518,86,93,0,0,0,0,0,0,0,0,0,"2,333.00","188,000.00","15,000,000.00","5,427,000.00",1,3,"130,671.00","9,469.00",128,"2,596,470,000.00","145,800,000,000.00","161,000,000,000.00","372,600,000,000.00","78,867.00",0,"2,046.00",664
31,Sweden,Europe,0.61,9960487,4065000,3400000,110000,43875,21875,22000,206,72,72,58,71,52,0,120,"2,470.00",0,0,0,63,0,0,0,7,5,14,9,0,"300,000.00",0,"5,361,000.00",358,9,"572,900.00","11,633.00",231,"6,215,000,000.00","939,900,000,000.00","59,390,000,000.00","521,700,000,000.00","450,295.00","3,218.00","2,211.00",2052
32,Mexico,America,0.63,124574795,60000000,48885000,2175000,383575,273575,110000,478,0,36,198,177,217,0,0,695,12,375,0,143,0,6,0,3,0,131,11,"2,187,000.00","2,045,000.00","7,640,000,000.00","54,510,000.00",622,8,"366,095.00","17,166.00","1,714.00","7,000,000,000.00","480,500,000,000.00","189,200,000,000.00","2,406,000,000,000.00","1,964,375.00","9,330.00","4,389.00",2900
33,South Africa,Africa,0.64,54841552,26000000,14100000,965000,94050,78050,16000,209,17,17,100,67,94,12,195,"2,265.00",43,97,50,30,0,4,0,0,3,31,2,"2,000.00","605,000.00","15,000,000.00","22,190,000.00",82,5,"362,099.00","20,192.00",566,"4,610,000,000.00","144,100,000,000.00","48,180,000,000.00","757,300,000,000.00","1,219,090.00","2,798.00","5,244.00",0
34,Switzerland,Europe,0.66,8236303,3615000,3000000,90000,171000,21000,15000,167,54,54,58,55,42,0,134,"1,032.00",224,0,0,0,0,0,0,0,0,0,0,0,"265,000.00",0,"5,159,000.00",51,1,"71,454.00","4,876.00",63,"4,830,000,000.00","1,664,000,000,000.00","679,300,000,000.00","516,700,000,000.00","41,277.00",0,"1,770.00",1299
35,Myanmar,Asia,0.66,55123814,30000000,21635000,1030000,516000,406000,110000,263,56,77,106,75,86,9,592,"1,358.00",108,884,108,155,0,5,0,3,0,40,2,"15,000.00","28,120.00","139,000,000.00","22,300,000.00",97,3,"34,377.00","5,031.00",64,"2,400,000,000.00","9,713,000,000.00","5,032,000,000.00","330,900,000,000.00","676,578.00","1,930.00","6,522.00",12800
36,Norway,Europe,0.68,52320045,2150000,1755000,65000,72500,26500,46000,128,49,49,39,32,35,0,52,684,54,150,0,62,0,5,0,6,6,9,6,"1,648,000.00","223,000.00","6,611,000,000.00","2,797,000.00","1,585.00",6,"93,509.00","4,169.00",95,"7,000,000,000.00","642,300,000,000.00","60,450,000,000.00","375,900,000,000.00","323,802.00","25,148.00","2,566.00",1577
37,Argentina,America,0.71,44293293,20000000,17000000,665000,127720,75000,52720,262,24,49,118,71,116,0,390,828,43,289,32,42,0,0,4,9,2,10,0,"510,600.00","760,000.00","2,185,000,000.00","18,000,000.00",161,8,"231,374.00","36,966.00","1,138.00","4,330,000,000.00","208,600,000,000.00","52,970,000,000.00","911,500,000,000.00","2,780,400.00","4,989.00","11,968.00",11000
38,Netherlands,Europe,0.71,17084719,7800000,6325000,202000,53205,42705,10500,165,61,61,51,23,75,28,0,979,18,0,0,56,0,2,4,0,4,4,6,"18,090.00","990,000.00","113,200,000.00","7,969,000.00","1,244.00",7,"139,295.00","3,013.00",29,"9,840,000,000.00","4,063,000,000,000.00","36,130,000,000.00","915,200,000,000.00","41,543.00",451,"1,053.00",6237
39,Uzbekistan,Asia,0.72,29748859,15800000,13312000,602000,76500,56500,20000,179,69,89,88,2,73,25,420,715,143,880,109,0,0,0,0,0,0,0,0,"52,910.00","106,000.00","594,000,000.00","18,120,000.00",0,1,"86,496.00","3,645.00",53,"70,000,000.00","16,860,000,000.00","16,000,000,000.00","221,700,000,000.00","447,400.00",420,"6,893.00",1100
40,Romania,Europe,0.72,21529967,11050000,9060000,230000,177750,72750,105000,135,34,34,75,27,68,0,827,"1,456.00",0,413,188,48,0,3,0,4,0,6,5,"77,910.00","215,250.00","600,000,000.00","8,951,000.00",114,6,"82,386.00","10,785.00",45,"2,190,000,000.00","94,170,000,000.00","45,070,000,000.00","474,000,000,000.00","238,391.00",225,"2,844.00",1731
41,Belarus,Europe,0.73,9549747,5000000,3710000,100620,401250,56500,344750,202,43,111,67,24,68,21,515,"2,321.00",583,290,123,0,0,0,0,0,0,0,0,"32,670.00","187,000.00","198,000,000.00","4,381,000.00",4,1,"86,392.00","5,537.00",65,"725,000,000.00","38,750,000,000.00","5,059,000,000.00","175,900,000,000.00","207,600.00",0,"3,599.00",2500
42,Peru,America,0.74,31036656,15200000,12355000,605000,369330,100830,268500,275,28,70,125,69,98,16,85,890,12,243,80,60,0,7,0,6,5,6,0,"40,270.00","172,000.00","473,000,000.00","17,030,000.00",88,8,"140,672.00","1,907.00",191,"2,560,000,000.00","70,090,000,000.00","61,340,000,000.00","424,600,000,000.00","1,258,216.00","2,414.00","7,062.00",8808
43,Nigeria,Africa,0.75,190632261,72400000,40710000,3456000,181000,124000,57000,124,9,21,52,47,42,11,148,"1,420.00",25,339,30,75,0,4,0,0,0,93,0,"1,871,000.00","302,000.00","37,060,000,000.00","60,080,000.00",583,3,"193,200.00","3,505.00",54,"2,330,000,000.00","35,230,000,000.00","31,080,000,000.00","1,118,000,000,000.00","923,768.00",853,"4,477.00",8600
44,Malaysia,Asia,0.77,31381992,15000000,12425000,520000,420000,110000,310000,182,36,49,84,41,71,0,74,"1,318.00",0,184,54,61,0,3,0,6,2,41,4,"666,900.00","625,000.00","3,600,000,000.00","14,940,000.00","1,690.00",5,"98,721.00","1,849.00",114,"4,700,000,000.00","213,000,000,000.00","97,440,000,000.00","926,100,000,000.00","329,847.00","4,675.00","2,742.00",7200
45,Colombia,America,0.78,47698524,24000000,19015000,845000,511550,369100,142450,489,21,59,328,64,273,0,0,"1,345.00",0,155,0,234,0,4,0,1,11,55,0,"886,000.00","306,000.00","2,002,000,000.00","24,670,000.00",103,7,"141,374.00",874,836,"12,145,000,000.00","120,400,000,000.00","46,400,000,000.00","712,500,000,000.00","1,138,910.00","3,208.00","6,672.00",24725
46,Venezuela,America,0.79,31304016,14200000,11700000,552000,123000,115000,8000,280,39,39,138,98,104,10,696,700,57,104,52,50,0,3,0,4,2,10,0,"2,277,000.00",785000,3.01E+11,"14,210,000.00",267,5,96155,806,444,"4,000,000,000.00","103,100,000,000.00","6,696,000,000.00","389,400,000,000.00",912050,2800,5267,7100
47,Iraq,Asia,0.82,39192111,16000000,13015000,655000,318000,168000,150000,289,23,56,120,42,162,32,389,"13,028.00",44,120,30,60,0,0,0,0,0,23,0,4452000,770000,1.43E+11,"8,900,000.00",77,3,44900,2272,102,"6,055,000,000.00","73,430,000,000.00","47,020,000,000.00","660,700,000,000.00",438317,58,3809,5279
48,Angola,Africa,0.83,29310273,6030000,3040000,310000,175500,107000,68500,283,59,56,145,47,121,15,244,538,28,332,115,57,0,0,0,0,0,38,2,1770000,133000,8273000000,"12,510,000.00",55,4,51429,2764,176,"4,150,000,000.00","27,340,000,000.00","18,100,000,000.00","192,000,000,000.00",1246700,1600,5369,1300
49,Syria,Asia,0.83,18028549,11600000,10000000,502000,304000,154000,150000,460,201,134,106,69,167,28,"4,640.00","4,510.00",436,"2,150.00",650,56,0,2,0,0,0,14,7,28670,260000,2500000000,"3,767,000.00",21,3,68157,2052,90,"1,872,000,000.00","5,699,000,000.00","407,300,000.00","50,280,000,000.00",185180,193,2363,900
50,Kazakhstan,Asia,0.86,18556698,8500000,6440000,245000,106500,74500,32000,214,67,82,90,18,75,18,300,"1,613.00",285,744,393,15,0,0,0,0,0,12,0,1595000,260000,30000000000,"9,147,000.00",119,5,97418,15333,96,"2,435,000,000.00","159,200,000,000.00","31,440,000,000.00","474,300,000,000.00",2724900,26,13364,0
51,Ethiopia,Africa,0.88,105350020,40000000,24800000,1950000,162000,162000,0,80,24,24,42,14,33,8,800,800,85,700,183,0,0,0,0,0,0,0,0,0,57000,428000,"52,820,000.00",11,2,36469,681,57,"340,000,000.00","29,090,000,000.00","3,147,000,000.00","195,800,000,000.00",1104300,0,5925,104300
52,Philippines,Asia,0.9,104256076,50700000,41575000,2100000,498250,172500,325750,158,0,20,85,24,91,0,45,778,0,270,0,119,0,4,0,10,0,35,0,20000,300000,138500000,"44,460,000.00","1,508.00",6,"213,151.00",995,247,"3,000,000,000.00","80,880,000,000.00","81,530,000,000.00","874,500,000,000.00",300000,36289,0,3219
53,Azerbaijan,Asia,0.9,9961396,5000000,3750000,150000,374500,67000,307500,135,18,29,83,19,93,17,520,"1,590.00",119,240,191,31,0,1,0,0,4,13,7,833500,"93,000.00",7000000000,"5,118,000.00",311,1,52942,2918,37,"1,600,000,000.00","16,620,000,000.00","8,886,000,000.00","166,800,000,000.00",86600,713,2468,0
54,Denmark,Europe,0.91,5605948,2500000,2020000,75000,75150,20800,54350,113,33,33,39,38,35,0,57,673,12,0,0,90,0,9,0,0,0,0,7,140660,155000,490600000,"2,998,000.00",654,8,73197,2667,80,"4,440,000,000.00","484,800,000,000.00","68,800,000,000.00","285,500,000,000.00",43094,7314,140,400
55,Morocco,Asia,0.91,33986655,17000000,14406000,600000,373000,198000,175000,284,56,56,116,80,130,0,"1,276.00","2,348.00",448,192,72,121,0,6,0,1,0,22,0,160,210000,684000,"12,000,000.00",82,5,58395,2067,55,"3,400,000,000.00","45,720,000,000.00","22,970,000,000.00","300,100,000,000.00",446550,1835,2363,0
56,Bangladesh,Asia,0.91,157826578,37000000,66110000,3300000,225000,160000,65000,173,45,45,71,57,64,0,534,942,18,0,32,89,0,6,0,4,2,30,5,4000,119000,28000000,"73,410,000.00",306,3,21269,2622,18,"1,590,000,000.00","45,070,000,000.00","33,660,000,000.00","686,500,000,000.00",143998,580,4413,8370
57,Hungary,Europe,0.92,9850845,4650000,3800000,115000,77250,23250,54000,35,12,12,19,4,15,0,32,"1,123.00",0,300,65,0,0,0,0,0,0,0,0,13830,135000,25100000,"4,599,000.00",0,6,199567,8057,41,"1,040,000,000.00","131,800,000,000.00","27,020,000,000.00","283,600,000,000.00",103000,0,2106,1622
58,Chile,America,0.94,17789267,8600000,7200000,280000,137850,65000,72850,254,44,44,110,79,87,0,300,"2,346.00",48,0,8,69,0,8,0,0,4,23,0,4423,340000,150000000,"8,881,000.00",211,7,80505,7082,481,"5,483,000,000.00","167,900,000,000.00","39,110,000,000.00","451,100,000,000.00",756102,6435,7801,12290
59,Finland,Europe,0.97,5518371,2300000,1900000,65000,262050,29350,232700,153,55,55,31,66,27,0,160,"1,370.00",90,871,58,270,0,0,0,0,0,8,18,0,200000,0,"2,695,000.00",267,6,78141,5919,148,"3,660,000,000.00","544,700,000,000.00","10,800,000,000.00","242,400,000,000.00",338145,1250,2563,7842
60,Bulgaria,Europe,0.98,7101510,3300000,2700000,66000,52650,33150,19500,73,20,32,25,15,24,0,531,"1,103.00",150,350,100,29,0,4,0,3,0,0,10,1000,94000,15000000,"2,581,000.00",80,2,19512,4152,68,"700,000,000.00","39,510,000,000.00","27,520,000,000.00","152,400,000,000.00",110880,354,1806,470
